id,full,probe,dest,dest_sent_to,protocol,dest_reached,somewhere_reached,first_hop,num_hops,num_x_hops,latency,avg_rtt,
2810586,False,13721,196.21.45.85,155.232.6.41,TCP,False,True,2,13,2,382.111,220.723848485,
2810705,False,13114,41.63.1.2,196.32.209.149,TCP,False,True,3,1,0,168.647,168.647,
2804252,False,13721,196.216.167.70,196.216.167.70,UDP,True,True,1,16,2,530.585,265.240452381,
2494990,False,3461,213.55.90.6,213.55.90.6,ICMP,False,False,1,28,6,278.97,148.859893939,
2810019,False,13218,41.221.98.158,41.221.98.158,UDP,True,True,1,18,0,342.647,184.175861111,
2811021,False,4096,213.55.98.158,196.29.185.78,UDP,False,False,4,7,6,100.448666667,100.448666667,
2495220,False,18169,168.167.220.2,41.164.114.197,TCP,False,False,1,9,6,12.565,4.85577777778,
2487038,True,13114,aceroute UDP and paris 0: ,146.230.128.52,UDP,False,False,1,14,6,54.384,33.6664583333,
2487038,True,13218,aceroute UDP and paris 0: ,146.230.128.52,UDP,False,False,1,14,6,56.0476666667,34.4162916667,
2487038,True,13721,aceroute UDP and paris 0: ,146.230.128.52,UDP,False,False,1,26,8,410.591,306.513888889,
2487038,True,14867,aceroute UDP and paris 0: ,146.230.128.52,UDP,False,False,1,24,6,340.476,226.499481481,
2487038,True,14900,aceroute UDP and paris 0: ,146.230.128.52,UDP,False,False,1,18,6,62.9886666667,28.26325,
2487038,True,18169,aceroute UDP and paris 0: ,146.230.128.52,UDP,False,False,1,15,6,23.0986666667,13.8968518519,
2487038,True,3461,aceroute UDP and paris 0: ,146.230.128.52,UDP,False,False,1,16,6,46.3233333333,31.1753,
2487038,True,4061,aceroute UDP and paris 0: ,146.230.128.52,UDP,False,False,1,26,6,275.462333333,141.825516667,
2487038,True,4096,aceroute UDP and paris 0: ,146.230.128.52,UDP,False,False,1,25,6,264.262,163.612719298,
2487038,True,4518,aceroute UDP and paris 0: ,146.230.128.52,UDP,False,False,1,13,6,24.2696666667,18.9772380952,
2808109,False,4096,41.204.150.67,41.204.150.67,ICMP,True,True,1,15,1,287.362,166.354535714,
2808857,False,4518,196.21.236.147,196.21.236.147,TCP,True,True,1,5,0,7.99066666667,5.33453333333,
2494685,False,13218,196.43.133.74,196.32.209.142,ICMP,False,True,1,5,1,147.072333333,74.0420833333,
2492651,False,4061,41.70.16.34,81.199.204.85,TCP,False,True,6,8,0,87.088,77.1452083333,
2487065,True,13114,aceroute UDP and paris 0: ,41.63.3.8,UDP,False,True,1,10,0,43.626,26.5448,
2487065,True,13218,aceroute UDP and paris 0: ,41.63.3.8,UDP,False,True,1,10,0,44.2983333333,27.5277333333,
2487065,True,13721,aceroute UDP and paris 0: ,41.63.3.8,UDP,False,True,1,19,2,425.9685,285.354872549,
2487065,True,14867,aceroute UDP and paris 0: ,41.63.3.8,UDP,False,True,1,21,0,379.0835,218.863420635,
2487065,True,14900,aceroute UDP and paris 0: ,41.63.3.8,UDP,False,True,1,14,0,52.492,27.3744047619,
2487065,True,18169,aceroute UDP and paris 0: ,41.63.3.8,UDP,False,True,1,17,0,107.841666667,54.8405098039,
2487065,True,4061,aceroute UDP and paris 0: ,41.63.3.8,UDP,False,True,1,19,0,280.835333333,132.684614035,
2487065,True,4096,aceroute UDP and paris 0: ,41.63.3.8,UDP,False,True,1,16,0,290.484666667,176.301270833,
2487065,True,4518,aceroute UDP and paris 0: ,41.63.3.8,UDP,False,True,1,15,0,108.992,61.8646,
2495945,False,14900,196.21.218.26,196.21.218.26,TCP,True,False,1,8,5,80.9426666667,1.61,
2492044,False,4061,146.230.128.52,154.54.39.129,ICMP,False,True,9,2,0,85.8163333333,86.3116666667,
2495438,False,14712,213.55.90.6,41.189.225.38,TCP,False,False,1,7,5,291.887,0.305,
2808707,False,13721,196.12.12.88,196.12.12.88,ICMP,True,True,1,18,3,445.038666667,221.795311111,
2492522,False,14867,41.73.194.141,41.73.194.129,TCP,False,True,3,12,0,340.127333333,197.268972222,
2810218,False,13218,41.221.98.158,41.221.96.185,ICMP,False,True,3,14,1,350.7775,200.980641026,
2808969,False,4096,41.87.6.25,41.87.6.25,TCP,True,True,1,13,2,146.1,119.063181818,
2803585,False,14712,196.21.236.147,196.21.236.147,TCP,True,False,1,7,5,429.561,0.4115,
2811934,False,13721,41.89.96.80,41.204.179.42,UDP,False,False,1,21,8,418.823,220.753205128,
2495825,False,4518,194.201.253.8,194.201.253.8,TCP,True,True,1,16,0,261.197333333,84.6125208333,
2492613,False,4518,197.243.16.104,197.243.126.110,TCP,False,True,8,15,1,659.428666667,379.776666667,
2811876,False,3461,209.88.88.40,197.221.232.4,UDP,False,True,1,10,0,156.475,36.925,
2809846,False,13114,196.220.96.209,196.220.96.209,UDP,False,False,1,20,7,377.2315,201.559012821,
2492427,False,3461,41.223.156.170,41.223.156.170,ICMP,True,True,9,16,0,359.288,266.571791667,
2809416,False,4518,196.216.167.70,196.216.167.70,TCP,True,True,1,15,0,90.109,58.4082555556,
2492821,False,4061,196.21.218.26,196.32.209.117,UDP,False,True,7,8,0,266.021,106.905333333,
2810480,False,4061,41.63.3.8,196.32.209.166,TCP,False,True,9,4,0,187.9565,121.263125,
2492122,False,13218,41.63.1.2,196.32.210.6,ICMP,False,True,3,3,0,174.840333333,161.324333333,
2802481,False,4518,196.43.133.74,196.43.133.74,ICMP,False,False,1,19,6,85.0333333333,50.6527435897,
2492693,False,4096,41.204.161.16,41.204.184.156,TCP,False,True,4,13,0,263.184333333,131.311025641,
2803386,False,14712,41.221.254.22,41.221.254.22,TCP,False,False,1,7,5,399.006,0.4135,
2803851,False,18169,168.167.220.2,168.167.220.2,UDP,False,False,1,23,6,46.9186666667,31.2564705882,
2810654,False,13721,196.3.96.21,105.21.224.30,TCP,False,True,2,14,2,410.586,261.076777778,
2496023,False,13218,213.55.90.6,213.55.90.6,ICMP,False,False,1,27,8,219.994666667,132.675315789,
2492642,False,4096,146.182.34.110,155.232.8.34,TCP,False,True,6,15,0,324.232,202.993644444,
2810577,False,4518,197.243.16.110,197.243.126.110,TCP,False,True,8,14,3,2066.6055,457.667712121,
2809331,False,18169,213.55.101.26,213.55.101.26,TCP,False,False,1,9,6,0.982,0.976555555556,
2492166,False,3461,197.155.226.212,196.46.25.215,ICMP,False,False,5,11,6,42.046,38.2864,
2496298,False,13114,41.204.161.16,41.204.161.16,UDP,True,True,1,3,0,1.45833333333,1.01288888889,
2492547,False,14867,197.243.16.110,195.229.0.242,TCP,False,True,4,5,0,148.835,144.062066667,
2486930,True,13114,aceroute ICMP and paris 0: ,41.63.16.6,ICMP,False,False,1,15,6,43.4086666667,36.8548888889,
2486930,True,13218,aceroute ICMP and paris 0: ,41.63.16.6,ICMP,False,False,1,15,6,42.9156666667,27.827037037,
2486930,True,13721,aceroute ICMP and paris 0: ,41.63.16.6,ICMP,False,False,1,23,8,445.754666667,268.032311111,
